GeoHash,ident,type,name,latitude_deg,longitude_deg
204sn2st97jrp4wgdchcj,NZ-0026,small_airport,Pitt Island Aerodrome,-44.293167,-176.203476
204wb2q10py8hyz70gh8k,NZCI,medium_airport,Chatham Islands / Tuuta Airport,-43.81189,-176.46514
24c3wuqd41b6ccpqjkt9g,NZ-0027,small_airport,Raoul Island Airstrip,-29.243879,-177.936544
2egr4z40kqwxug3xu462e,NTAM,small_airport,Rimatara Airport,-22.63725,-152.8059
2evej6rywjxn4fnzfyfq1,NTAT,medium_airport,Tubuai Airport,-23.36540031,-149.5240021
2eybpggf9gy60jdk4f34m,NTAV,small_airport,Raivavae Airport,-23.885201,-147.662003
2h2fkxhtnmzvk138fbd7q,NFOL,small_airport,Ono-i-Lau Airport,-20.6589,-178.7411
2h5rnm5tj36tt1pbpqmch,NFTF,medium_airport,Fua'amotu International Airport,-21.24119949,-175.1499939
2h5w6spqrk14yewgygw21,NFTE,small_airport,Kaufana Airport,-21.37829971,-174.9579926
2hb7nczju95zy54gymzut,NFCI,small_airport,Cicia Airport,-17.74329948,-179.3419952
2hbb6yvmvz7c0rpt4brpx,NFNK,small_airport,Lakeba Island Airport,-18.19919968,-178.8170013
2hbmgdup50n2j07d6fjzw,NFKB,small_airport,Kaibu Island Airport,-17.25419998,-179.4889984
2hbsg13h98b29s870j2ju,NFGO,small_airport,Mago Island Airstrip,-17.438646,-179.163601
2hbtz238ucprcf6b26h4e,NFVB,small_airport,Vanua Balavu Airport,-17.2689991,-178.9759979
2hkp2z8y85vtnkrnkwcwj,NFTL,medium_airport,Lifuka Island Airport,-19.77700043,-174.3410034
2hsq32ssz2yuqjr7gxn29,NFTV,medium_airport,Vava'u International Airport,-18.58530045,-173.9620056
2hx5mnzbwdfe08yd7vx42,NIUE,medium_airport,Niue International Airport,-19.07903099,-169.9255981
2j00xx47prcefrx1d6su1,NFNH,small_airport,Laucala Island Airport,-16.7481,-179.667007
2j014c9d4nu4y1vz04mtp,NFNM,small_airport,Matei Airport,-16.690599,-179.876999
2j3qefxvn4bj3uvt592m3,NLWF,small_airport,Pointe Vele Airport,-14.311565,-178.066492
2j5p7mmnwmpx0n016tx1p,NFTO,small_airport,Mata'aho Airport,-15.570603,-175.631283
2jdswqpc39gnx51kunj4v,NLWW,medium_airport,Hihifo Airport,-13.23830032,-176.1990051
2jhmj73jqpgwgpmhgdw3b,NFTP,small_airport,Kuini Lavenia Airport,-15.977297,-173.791089
2jqw7rhgbebz579g1r3pb,NSTU,medium_airport,Pago Pago International Airport,-14.331,-170.710007
2jrr71f1fkpy0tsuj4e06,NSAS,small_airport,Ofu Airport,-14.1844,-169.669998
2jrx0sj35cpgmsrj797n2,NSFQ,small_airport,Fitiuta Airport,-14.216131,-169.423771
2jt5pv2nysvjsh5fxewep,NSAU,small_airport,Asau Airport,-13.505132,-172.627888
2jt9b4m93c8e7hbcz737q,NSMA,small_airport,Maota Airport,-13.7423,-172.257996
2jt9mf7d7jnkuzvzbu4r9,NSFA,medium_airport,Faleolo International Airport,-13.82999992,-172.0079956
2jtc5yyfg04kfmk8192r2,NSFI,small_airport,Fagali'i Airport,-13.849167,-171.739866
2knr7s0v661zbvbj63t4j,NCRG,medium_airport,Rarotonga International Airport,-21.2027,-159.806
2kpeqtzysh4vfsx00sfn8,NCMG,small_airport,Mangaia Island Airport,-21.895987,-157.906662
2krw3uvr0hm8tcnk3q9qy,NCAT,small_airport,Enua Airport,-19.96780014,-158.1190033
2krz57u1j9tzp8xu4k5g3,NCMR,small_airport,Mitiaro Island Airport,-19.842501,-157.703003
2kwfqu1m13dx08yf4fuzv,NCMN,small_airport,Manuae Airport,-19.269152,-158.959408
2kwku7zqhcc60chudk0d7,NCAI,small_airport,Aitutaki Airport,-18.8309,-159.764008
2ptbk8hddc509nc6g1b1d,PCIS,medium_airport,Canton Island Airport,-2.76812005,-171.7100067
2q41fjpd2jxprq8d5wzjj,NCPK,small_airport,Pukapuka Island Airport,-10.9145,-165.8393
2qjsbqczmdb752vnsr2p8,NCMH,small_airport,Manihiki Island Airport,-10.3767004,-161.0019989
2qrseyur3zwk6t4hgvm1b,NCPY,small_airport,Tongareva Airport,-9.01437,-158.03241
2s2j7w2fewz2pmt8jw6eq,NCMK,small_airport,Mauke Airport,-20.13610077,-157.3450012
2sh27eyrchzce4dn7wjt8,NTAR,medium_airport,Rurutu Airport,-22.4340992,-151.3609924
2svs5s7w2374g0rrzu7y9,NTAA,large_airport,Faa'a International Airport,-17.553699,-149.606995
2svs804f9dv6bce7kfx54,NTTM,medium_airport,Moorea Temae Airport,-17.48979,-149.761777
2svxhn2rfurub2sxdys8z,NTTE,small_airport,Tetiaroa Airport,-17.015095,-149.589372
2t5dx9ek9w7hy39tv7k71,NTTP,medium_airport,Maupiti Airport,-16.42650032,-152.2440033
2th2c79y436rbdctkp5fj,NTTR,medium_airport,Raiatea Airport,-16.7229,-151.466003
2th46y6k3jxb3ffezvd16,NTTB,medium_airport,Bora Bora Airport,-16.44440079,-151.7510071
2th58gnj8pbfw237ehnxv,NTTU,small_airport,Tupai Airport,-16.2423,-151.8338
2th956jqty46s5q3b1gcg,NTTH,medium_airport,Huahine-Fare Airport,-16.687084,-151.021593
2tpum39d292jvnkqcegkm,NTKN,small_airport,Naiu Airport,-16.119296,-146.368768
2tpwcs9det32j17yk3yrx,NTGK,medium_airport,Kaukura Airport,-15.6633,-146.884995
2tpzkhzv5qs33smkzfqb4,NTGD,small_airport,Apataki Airport,-15.5736,-146.414993
2tq5rv7e4c5pc9serrkmh,NTGV,medium_airport,Mataiva Airport,-14.86810017,-148.7169952
2tq9fzt3zq30ghp3vrek9,NTGC,medium_airport,Tikehau Airport,-15.1196,-148.231003
2tqfzvssckmqpyqxy2n3p,NTTG,medium_airport,Rangiroa Airport,-14.95429993,-147.6609955
2tr9r8hu0nvtvgmprzs7y,NTGU,medium_airport,Arutua Airport,-15.2482996,-146.6170044
2trvzv6yhz396b624k24f,NTHE,medium_airport,Ahe Airport,-14.42809963,-146.2570038
2u660ztjknm80ec8k29w2,NTKU,small_airport,Nukutepipi Airport,-20.700054,-143.045933
2ubt2c4cg2gtp0f7wuq1s,NTGA,medium_airport,Anaa Airport,-17.3526,-145.509995
2uejq4w1vdcdpynnsf7gv,NTGG,small_airport,Nengo-Nengo Airport,-18.7506,-141.7591
2ufs4v3jf8mffqkm8bedu,NTGH,small_airport,Hikueru Airport,-17.548297,-142.612037
2ugc0tw68jjf1x090f938,NTTO,medium_airport,Hao Airport,-18.0748,-140.945999
2uj7cjxhvdq49tsuwvyyg,NTTX,small_airport,Moruroa Airport,-21.80978,-138.813385
2um3yb3fus8py6870yseq,NTGY,small_airport,Tureia Airport,-20.784262,-138.56796
2uptc9215s9gcvm81es8n,NTGS,small_airport,Marutea Airport,-21.4821949,-135.6370544
2ut661rfyxtfsfpjxmk93,NTGW,small_airport,Nukutavake Airport,-19.284613,-138.768367
2utm0m06s0kdeehdhb6h3,NTUV,small_airport,Vahitahi Airport,-18.780697,-138.85568
2uvt389drpkurd6nejm2w,NTGO,small_airport,Tatakoto Airport,-17.355226,-138.44734
2uwxfj7g9j2rqc2ps3n5v,NTGQ,small_airport,Pukaruha Airport,-18.295726,-137.016291
2uwyzq22xr5m7uz755vsf,NTGE,medium_airport,Reao Airport,-18.46652,-136.43855
2v09hfq3etvsdz3q6dvxf,NTKF,small_airport,Faaite Airport,-16.68657,-145.329394
2v0ktmry1fye400fh5twe,NTGF,medium_airport,Fakarava Airport,-16.05410004,-145.6569977
2v0x15uwhp8hj4mq71jnv,NTGR,small_airport,Aratika-Perles Airport,-15.622861,-145.496578
2v0xcugv2vrfqezju17ym,NTKK,small_airport,Aratika Nord Airport,-15.485673,-145.464778
2v0y1x0xnnve03v2n5fw9,NTKA,small_airport,Kauehi Airport,-15.780622,-145.128443
2v171cmq6w8n5r089g2n8,NTKT,small_airport,Katiu Airport,-16.339681,-144.407966
2v1cduzrvbgx1u2npbypc,NTGM,medium_airport,Makemo Airport,-16.5839,-143.658005
2v2ju5g5d1km90gw1bs7d,NTGI,medium_airport,Manihi Airport,-14.4368,-146.0700073
2v2sqf5nfy7hbdhsm6ez0,NTGT,medium_airport,Takapoto Airport,-14.70950031,-145.2460022
2v2vgbkhbewcb05nb1u8u,NTKR,medium_airport,Takaroa Airport,-14.45580006,-145.0249939
2v4sty5epkdzd9u0yxnzc,NTKO,small_airport,Raroia Airport,-16.050485,-142.476568
2v4vf9hxz0018h165jpzv,NTKM,small_airport,Takume Airport,-15.857434,-142.266469
2v5y4003w4019mmby7jc0,NTGB,medium_airport,Fangatau Airport,-15.820044,-140.888071
2v7x37j4tj8hxy64gc7pz,NTGN,small_airport,Napuka Island Airport,-14.177397,-141.266112
2vhm42xw26g54ttdgpn97,NTKH,small_airport,Fakahina Airport,-15.992259,-140.164246
2vm7c0p8p7z9pmkuz49mn,NTGP,small_airport,Puka Puka Airport,-14.80955,-138.812621
2yk6u3w69fqe8c1yqts26,NTMP,small_airport,Ua Pou Airport,-9.35167,-140.078003
2ykmcnb3gmk4297kw09gr,NTMD,medium_airport,Nuku Hiva Airport,-8.7956,-140.229004
2ykv0m5ydwm7851h4kh0p,NTMU,small_airport,Ua Huka Airport,-8.936228,-139.554062
2ym0ktxk8vs2mgmh7vf4r,NTMN,medium_airport,Hiva Oa-Atuona Airport,-9.768790245,-139.0110016
35bhdw2jg4wmkdcwyqby3,NTGJ,medium_airport,Totegegie Airport,-23.07990074,-134.8899994
3e4jqnc3ddjk3cq9j293t,SCIP,medium_airport,Mataveri Airport,-27.16480064,-109.4219971
3zz6dk6hc3mkywtdn4728,SEII,small_airport,General Villamil Airport,-0.942628,-90.953003
3zzv3vqksj6s4g5epkjy2,SEGS,small_airport,Seymour Galapagos Ecological Airport,-0.453758,-90.2659
41udpuzsgb7ckmkq5sbjj,SCGC,small_airport,Union Glacier Blue-Ice Runway,-79.777778,-83.320833
41wp5g4pu5vpe1ddssjc8,SCPZ,small_airport,Patriot Hills Airport,-80.3142,-81.39478
46tn5qn8zbd098dvu2tq3,EGAT,small_airport,Sky Blu Airstrip,-74.849722,-71.566666
47zx9exnu3n6v61e8feq5,EGAR,small_airport,Rothera Research Station,-67.5675,-68.127403
47zx9ez6n121kk0yj2yud,AAXX,small_airport,Aeródromo de Punto Rothera,-67.566941,-68.126993
4ebk3per2wzp5mrxwt8z4,SAYS,small_airport,San Martín Base Airfield,-68.116699,-67.099998
4qmzh2kzn3kgsxp6x9ym8,SCDW,small_airport,Almirante Schroeders Airport,-53.610699,-70.470497
4qpzt0h51hfnujqm12zqx,SCGZ,medium_airport,Guardia Marina Zañartu Airport,-54.931099,-67.626297
4qqfp4ncjdbkt2y2q3qvq,SCAZ,small_airport,Azopardo Airport,-54.481014,-68.940689
